Date,Datetime,Thermocline,Thermocline_depth,Thermocline_temp,Gradient,AirTempMax,AirTempMin,AirTempAvg,Level,Wind,RadMax,RadAvg,Rain,Flow
2018-01-20,2018-01-20 21:01:00,0.0,,,0.0389089613810265,16.1,2.8,9.47,608.22,1.08,259.0,43.02,0.0,0.16
2018-01-21,2018-01-21 12:01:00,0.0,,,0.0319003065604768,16.3,8.8,12.32,608.26,1.16,244.0,35.2,0.0,0.16
2018-01-22,2018-01-22 12:01:00,0.0,,,0.0501987779324686,15.5,4.7,9.66,608.28,0.75,286.0,45.69,0.0,0.155
2018-01-23,2018-01-23 12:01:00,0.0,,,0.1495055647726442,15.4,5.5,10.69,608.32,0.78,268.0,38.34,0.0,0.156
2018-01-24,2018-01-24 12:01:00,0.0,,,0.2019880712533979,12.2,2.6,6.22,608.35,1.04,236.0,39.89,0.0,0.159
2018-01-25,2018-01-25 18:56:00,0.0,,,0.1265658304089179,13.5,2.4,6.01,608.39,0.85,337.0,31.67,3.6,0.165
2018-01-26,2018-01-26 12:12:00,0.0,,,0.0760508104157242,6.9,2.2,4.11,608.43,1.89,234.0,30.28,1.6,0.162
2018-01-27,2018-01-27 12:12:00,0.0,,,0.0404493409850665,6.3,0.4,3.67,608.46,1.4,141.0,21.75,0.5,0.139
2018-01-28,2018-01-28 12:12:00,0.0,,,0.0439347692150828,12.0,-0.6,4.38,608.49,1.0,269.0,47.84,0.0,0.143
2018-01-29,2018-01-29 12:12:00,0.0,,,0.0189044831657607,15.0,0.7,6.1,608.52,1.02,286.0,54.42,0.0,0.16
2018-01-30,2018-01-30 12:12:00,0.0,,,0.0328296610617808,12.8,0.7,5.22,608.56,1.11,284.0,55.07,0.0,0.136
2018-01-31,2018-01-31 18:50:00,0.0,,,0.0168213863203732,11.8,0.7,4.78,608.6,1.13,284.0,55.15,0.0,0.118
2018-02-01,2018-02-01 12:27:00,0.0,,,0.0105325093557517,7.8,0.6,3.9,608.65,1.08,251.0,24.32,0.0,0.13
2018-02-02,2018-02-02 12:27:00,0.0,,,0.0055526529213958,4.8,0.5,2.23,608.67,1.69,303.0,45.31,0.0,0.13
2018-02-03,2018-02-03 12:27:00,0.0,,,0.0182361376815727,10.4,0.7,4.69,608.69,1.16,314.0,42.71,1.2,0.129
2018-02-04,2018-02-04 12:27:00,0.0,,,0.0079593562896889,3.0,-0.2,1.46,608.71,0.64,47.0,9.13,0.0,0.115
2018-02-05,2018-02-05 11:27:00,0.0,,,0.0060000191322373,1.0,-0.3,0.35,608.74,0.41,41.0,6.01,0.0,0.098
2018-02-06,2018-02-06 12:27:00,0.0,,,0.008749033733209,3.4,-0.6,0.97,608.77,1.5,315.0,41.36,1.7,0.117
2018-02-07,2018-02-07 12:27:00,0.0,,,0.0068576168387766,3.2,-1.6,0.79,608.78,1.3,229.0,35.26,0.0,0.177
2018-02-08,2018-02-08 12:27:00,0.0,,,0.0042664802970806,5.2,-1.8,1.2,608.79,1.23,296.0,42.51,0.0,0.152
2018-02-09,2018-02-09 12:27:00,0.0,,,0.0073793146499134,6.0,-3.0,1.81,608.81,0.99,201.0,33.55,0.0,0.14
2018-02-10,2018-02-10 12:27:00,0.0,,,0.023898842144276,4.6,1.6,2.88,608.82,1.43,116.0,20.6,0.0,0.157
2018-02-11,2018-02-11 12:27:00,0.0,,,0.0513275127989745,14.5,4.2,8.72,608.84,1.03,351.0,66.33,4.4,0.16
2018-02-12,2018-02-12 12:27:00,0.0,,,0.0440116608610638,6.1,-1.7,2.63,608.86,0.92,322.0,40.27,0.0,0.16
2018-02-13,2018-02-13 12:27:00,0.0,,,0.0154443871157807,6.5,-2.6,2.7,608.9,1.46,139.0,30.08,0.0,0.16
2018-02-14,2018-02-14 12:27:00,0.0,,,0.0,11.0,2.2,8.11,608.95,1.35,156.0,31.51,0.0,0.16
2018-02-15,2018-02-15 12:27:00,0.0,,,0.02631431489446,18.6,6.6,12.11,609.0,1.22,373.0,54.3,0.0,0.166
2018-02-16,2018-02-16 09:06:00,0.0,,,0.0739333558801211,17.1,7.1,10.85,609.06,0.98,324.0,51.27,0.0,0.19
